url_length,n_dots,n_hypens,n_underline,n_slash,n_questionmark,n_equal,n_at,n_and,n_exclamation,n_space,n_tilde,n_comma,n_plus,n_asterisk,n_hastag,n_dollar,n_percent,phishing
37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
126,4,1,2,0,1,3,0,2,0,0,0,0,0,0,0,0,0,1
18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
163,4,9,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1
26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
41,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
98,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,2,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
50,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,2,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1
44,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
103,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
112,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
74,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
46,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
102,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
84,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
430,24,0,18,0,2,10,1,9,0,0,0,0,0,0,0,0,0,1
73,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,1
70,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
83,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
73,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
114,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
127,4,1,2,0,1,3,0,2,0,0,0,0,0,0,0,0,0,1
99,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
56,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,2,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,1
41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
49,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
80,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,5,6,0,0,0,4,1,5,0,1,0,0,0,0,0,0,8,1
38,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,2,1,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1
94,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
41,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
210,4,1,0,0,1,11,0,10,0,0,0,0,0,0,0,0,6,1
44,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
39,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
106,4,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
65,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
